issue_number,title,url,labels,created_at
4123,[Bug]: v0.11.0rc1 seems to have broken Multi-Node Expert Parallelism.,https://github.com/vllm-project/vllm-ascend/issues/4123,,Unknown
4132,"[Bug]:  ""Worker failed with error 'Forward context is not set"" in 0.11.0rc1",https://github.com/vllm-project/vllm-ascend/issues/4132,,Unknown
4244,[Bug]: PD分离分布式DP场景MooncakeConnector没有考虑PP并行，kv传输端口分配会冲突,https://github.com/vllm-project/vllm-ascend/issues/4244,,Unknown
4260,[Bug]: QWEN3-VL-235B-A22B使用910B单机16卡部署，开EP无法启动,https://github.com/vllm-project/vllm-ascend/issues/4260,,Unknown
4269,[Bug]: GLM4.6 PD分离 使用mooncake池化 八机部署无法稳定启动,https://github.com/vllm-project/vllm-ascend/issues/4269,,Unknown
4273,[Bug]: DP8 场景下量化推理存在精度问题,https://github.com/vllm-project/vllm-ascend/issues/4273,,Unknown
4281,[Bug]: vllm起服务ip设为服务器ip报错,https://github.com/vllm-project/vllm-ascend/issues/4281,,Unknown
4322,[Bug]: x86+npu环境，部署DeepSeek-V3.2-Exp-BF16后curl请求程序崩溃,https://github.com/vllm-project/vllm-ascend/issues/4322,,Unknown
4326,[Bug]: Qwen3-moe FULL_DECODE_ONLY inference crash,https://github.com/vllm-project/vllm-ascend/issues/4326,,Unknown
4339,"[Bug]: [Nightly]multi-node A3 eplb and A2 deepseek eplb failed,",https://github.com/vllm-project/vllm-ascend/issues/4339,,Unknown
4344,[Bug]: 部署qwen vl视觉类模型引起物理机宕机,https://github.com/vllm-project/vllm-ascend/issues/4344,,Unknown
4369,[Bug]: [Nightly]2A2 deepseek single op server started failed,https://github.com/vllm-project/vllm-ascend/issues/4369,,Unknown
4379,"[Bug]: The Qwen3 - Next - 80B - A3B - Instruct model is deployed on 8 cards of the 910B with 64G memory, and out - of - memory (OOM) occurs.",https://github.com/vllm-project/vllm-ascend/issues/4379,,Unknown
4450,[Bug]: Qwen3-Coder-480B-A35B-Instruct vllm 开启expert-parallel出现报错；开启量化报错,https://github.com/vllm-project/vllm-ascend/issues/4450,,Unknown
4451,"[Bug]: When starting the service with Qwen3-VL-32B (Dense) integrated with ACL Graph and FlashCommonV1, an error occurs.",https://github.com/vllm-project/vllm-ascend/issues/4451,,Unknown
